estimator,brier,brier_lo,brier_hi,ece,ece_lo,ece_hi,log_loss,n_matches
Raw model,0.21218610006931288,0.20980723219004527,0.2146458940316281,0.06849033556159945,0.06324066996301414,0.07399180947736977,1.0744208937583755,13265
Isotonic,0.20521095265281897,0.20366191967056113,0.20673980900388453,0.01237934942836646,0.008994732662966376,0.016815616218357643,1.05082843394346,13265
Platt,0.20485003276010252,0.20334313983887362,0.20638051909237162,0.010959285951007822,0.007459956474563258,0.015829128237191573,1.0254439751577917,13265
Market,0.19528145770158206,0.19352179441627326,0.197227180742116,0.005770593042609014,0.004088637939196089,0.010512083633654606,0.9835747788927451,13265
